Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,731.96","9,280.73","9,267.66","9,417.24","8,882.63","9,090.80","12,886.10","16,093.01","17,632.82","17,547.81","21,827.44","22,621.88","25,068.40","24,152.66","25,725.56","30,350.53","29,820.60","26,737.48","27,399.09","27,210.47","24,636.47","24,558.92","26,508.32","32,298.61","36,883.89","38,450.61","40,674.88","46,922.56","51,914.01","48,111.66","46,955.17","51,452.28","48,616.90","50,747.38","51,814.42","44,267.81","45,278.83","47,320.54","51,254.40","50,239.42","48,636.30","53,332.27","52,061.65","52,316.14","54,408.88","56,624.59","58,909.93","61,224.41",2021
Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,159.971,174.875,297.162,316.227,411.14,508.043,543.344,576.005,656.386,674.783,760.812,879.863,"1,039.82","1,571.29","2,458.42","3,818.27","5,578.56","4,963.77","5,880.81","7,242.81","7,545.87","7,926.09","7,939.17","5,300.14","3,897.71","4,217.65","4,759.80","4,826.35","4,240.84","5,397.93","6,842.03","6,871.52","7,154.36","7,445.64","7,727.30","8,029.69",2021
The Bahamas,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,289.31","12,493.75","13,746.78","14,958.65","15,627.02","16,797.76","17,850.61","19,326.11","19,683.61","21,814.31","20,456.26","19,767.72","19,417.22","18,979.01","19,660.92","20,271.25","20,974.54","21,951.76","23,300.80","25,780.48","26,669.44","27,060.51","28,477.06","28,043.46","28,239.07","30,269.03","30,908.21","31,894.39","31,248.60","29,296.49","29,303.26","28,906.97","30,433.05","29,654.09","31,029.39","32,569.74","32,135.90","33,185.66","33,876.50","34,650.12","25,193.92","28,792.07","32,246.24","34,548.93","36,098.82","37,190.90","38,161.62","39,108.30",2019
Bahrain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,189.61","11,061.39","11,221.70","11,117.66","11,163.44","10,182.37","7,695.81","8,049.36","9,602.79","9,668.04","10,179.63","10,252.37","10,536.82","11,290.27","11,777.07","12,143.09","12,298.65","12,422.12","11,565.97","12,210.22","14,214.58","13,894.34","13,501.55","14,486.06","15,963.98","17,966.22","19,267.57","20,908.34","23,236.06","19,465.29","20,827.70","24,080.45","25,434.43","25,965.31","25,398.34","22,659.39","22,641.28","23,631.59","25,149.49","26,050.98","23,585.91","26,135.78","28,691.77","29,076.32","29,574.90","30,177.63","30,879.57","31,638.98",2020
Bangladesh,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",311.093,322.318,294.02,277.489,303.3,317.511,318.062,339.17,355.592,378.07,398.05,402.354,400.912,395.867,411.91,450.133,471.268,479.354,488.077,491.461,497.807,497.045,499.906,533.545,569.732,594.253,610.469,668.54,760.65,841.252,935.755,"1,032.31","1,057.88","1,176.16","1,340.29","1,495.54","1,679.02","1,839.76","1,991.74","2,154.23","2,270.35","2,497.74","2,734.11","2,846.84","3,150.67","3,475.09","3,807.15","4,171.06",2020
Barbados,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,036.51","4,427.06","4,611.69","4,882.79","5,308.31","5,539.56","6,062.78","6,653.72","7,052.01","7,776.71","7,772.17","7,777.87","7,464.87","7,886.78","8,194.38","8,414.12","8,938.57","9,412.37","10,573.11","11,039.10","11,337.03","11,284.37","11,442.56","11,788.65","12,612.21","13,939.67","15,334.01","16,925.61","17,254.23","16,036.40","16,203.26","16,599.01","16,371.95","16,556.10","16,572.31","16,589.45","16,947.63","17,423.25","17,758.08","18,448.83","16,245.06","16,817.28","20,003.71","21,636.41","22,934.74","24,124.84","25,158.95","26,056.63",2020
Belarus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,252.79","1,114.10","1,533.72","1,034.93","1,429.06","1,396.11","1,514.67","1,210.97","1,079.61","1,283.27","1,524.49","1,873.67","2,450.90","3,221.46","3,968.75","4,887.28","6,581.18","5,345.33","6,025.69","6,478.89","6,948.35","7,995.73","8,337.15","5,958.84","5,037.85","5,778.56","6,351.76","6,831.52","6,515.65","7,295.02","8,567.35","9,937.12","10,320.85","10,698.59","11,023.42","11,418.30",2020
Belgium,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,529.35","10,366.11","9,128.58","8,626.16","8,244.85","8,568.65","11,873.81","14,740.46","16,008.64","16,098.16","20,119.94","20,563.73","22,823.03","21,723.62","23,624.47","28,458.47","27,535.29","24,878.75","25,399.22","25,309.06","23,136.51","23,067.16","25,044.33","30,707.67","35,497.55","36,945.50","38,841.79","44,496.79","48,493.14","44,892.23","44,448.17","47,564.38","44,824.16","46,848.61","47,897.04","41,147.26","42,076.40","44,274.07","47,689.49","46,740.49","45,238.68","51,849.34","50,597.87","50,906.08","52,785.97","54,627.80","56,487.14","58,351.95",2021
Belize,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,485.19","1,544.09","1,514.54","1,553.18","1,687.19","1,628.20","1,723.85","1,964.49","2,275.71","2,557.26","2,819.97","2,981.81","3,374.42","3,542.79","3,555.73","3,677.90","3,729.82","3,675.27","3,738.25","3,908.25","4,333.93","4,409.66","4,564.50","4,704.72","4,907.72","5,030.68","5,305.21","5,505.18","5,544.55","5,279.87","5,379.29","5,462.94","5,577.94","5,820.05","5,958.68","5,969.55","5,895.16","5,835.40","5,740.77","5,804.76","4,791.47","5,638.40","6,096.32","6,381.30","6,524.24","6,655.50","6,789.40","6,925.99",2020
Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",633.149,413.923,397.573,340.867,352.496,370.342,462.435,535.192,544.339,491.148,580.415,573.657,615.86,579.434,389.725,506.864,533.491,497.342,519.56,552.369,512.9,518.071,574.524,711.107,798.382,823.24,856.1,966.318,"1,125.30","1,087.58","1,037.38","1,130.07","1,145.87","1,251.23","1,291.74","1,076.91","1,086.99","1,136.19","1,240.84","1,218.28","1,290.50","1,417.42","1,366.87","1,382.59","1,447.37","1,538.30","1,635.81","1,739.02",2020
