Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
Lesotho,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",340.852,337.16,273.569,293.235,267.36,208.686,233.93,291.915,322.488,325.872,382.327,427.81,477.277,465.397,480.692,514.122,490.549,516.861,475.868,466.514,453.282,374.971,410.133,592.302,738.561,791.265,809.56,930.798,868.532,"1,011.42","1,222.20","1,324.61","1,261.44","1,191.99","1,250.63","1,106.83","1,105.77","1,166.07","1,150.98","1,122.34",999.205,"1,181.10","1,186.74","1,208.12","1,247.85","1,293.76","1,322.47","1,341.68",2016
Liberia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,303.151,305.914,311.769,231.891,286.104,293.47,333.151,388.156,464.44,470.219,505.355,582.605,646.648,716.566,708.812,691.359,709.804,706.249,677.356,623.874,600.462,677.356,735.185,769.099,760.869,787.429,825.759,873.833,2016
Libya,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,449.65","11,107.63","10,575.64","9,671.45","8,681.16","8,586.41","6,733.97","6,002.07","5,981.63","6,070.10","7,424.17","8,026.29","7,950.51","6,998.26","6,391.13","7,102.86","7,608.82","7,663.00","6,171.77","7,294.48","7,625.01","6,693.08","3,956.48","4,986.33","6,180.39","8,739.20","10,561.37","11,801.27","14,762.58","10,202.81","12,478.02","8,132.32","14,728.07","12,025.60","9,166.56","7,706.74","7,817.63","10,414.14","11,773.76","10,526.29","7,056.75","5,813.32","6,025.68","6,391.76","6,599.02","6,836.32","6,964.62","7,095.95",2019
Lithuania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,845.10","2,327.50","2,830.27","3,166.72","3,113.27","3,293.31","3,525.85","4,140.73","5,499.48","6,699.37","7,860.18","9,236.62","12,305.92","15,017.56","11,848.20","12,009.03","14,393.27","14,376.00","15,734.38","16,577.33","14,265.41","15,004.19","16,879.45","19,194.88","19,577.94","20,216.06","23,385.93","24,031.62","25,655.99","27,554.61","29,402.08","31,240.02","32,991.66",2021
Luxembourg,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,666.75","15,190.09","12,464.02","12,234.67","11,984.27","12,393.78","17,950.00","22,149.52","24,875.49","26,226.90","33,066.89","35,346.49","39,061.02","39,483.06","43,306.89","50,705.09","49,718.87","44,202.56","45,636.55","49,341.23","48,984.17","48,719.11","53,227.55","66,160.48","77,030.65","81,728.63","91,478.07","108,343.85","121,616.15","110,249.42","112,049.15","120,526.25","113,953.49","121,423.17","125,200.14","106,710.08","107,948.20","111,211.58","118,466.36","114,357.51","117,063.65","136,701.40","127,672.53","128,819.44","134,795.97","140,036.71","145,413.77","151,082.07",2020
Macao SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"15,723.75","16,733.98","18,461.84","23,005.59","25,109.97","28,970.43","34,268.70","38,286.23","39,822.35","51,135.16","66,111.72","74,209.14","84,833.69","86,298.09","69,647.78","69,887.83","77,233.10","82,835.78","81,231.55","37,455.87","43,771.84","33,608.41","55,644.21","73,829.38","83,426.73","89,058.35","93,318.13",2020
Madagascar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",599.371,534.073,522.936,498.801,404.876,383.873,427.478,307.636,297.42,288.402,347.714,280.355,311.649,331.998,279.38,295.539,368.663,309.351,310.104,292.558,307.335,350.5,334.838,387.055,298.635,335.388,355.397,459.855,561.654,488.901,492.67,553.45,538.541,560.939,548.905,481.807,489.439,528.379,535.948,531.75,477.545,506.905,521.578,539.635,561.66,590.823,620.779,656.536,2018
Malawi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",460.392,447.79,416.18,419.657,400.328,358.713,354.471,327.758,354.718,384.328,420.593,523.591,422.469,483.263,278.145,319.894,512.064,583.417,373.078,368.272,352.65,338.478,384.137,345.163,365.696,377.042,400.898,432.115,504.65,571.113,623.414,695.331,506.3,446.999,484.322,497.737,415.016,466.559,501.113,543.685,567.59,558.872,522.963,482.55,482.218,485.389,495.364,510.436,2016
Malaysia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,926.96","1,920.13","2,006.48","2,189.55","2,419.50","2,154.46","1,864.03","2,070.01","2,213.87","2,380.51","2,585.82","2,885.10","3,380.22","3,717.37","4,028.37","4,672.14","5,176.28","4,996.97","3,520.92","3,762.77","4,347.73","4,189.05","4,441.81","4,740.32","5,244.86","5,678.75","6,354.98","7,485.94","8,771.03","7,550.25","9,054.11","10,413.69","10,815.09","10,858.45","11,172.40","9,663.28","9,544.25","9,969.50","11,086.11","11,231.54","10,361.28","11,407.68","13,107.88","13,942.62","14,826.03","15,717.85","16,623.91","17,523.63",2021
Maldives,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",412.508,464.914,534.906,560.243,646.388,737.78,835.636,769.824,897.934,987.814,"1,091.55","1,184.66","1,343.01","1,479.45","1,591.14","1,903.13","2,107.61","2,553.95","2,658.80","2,842.66","2,967.25","2,780.45","2,952.22","3,690.79","4,238.04","3,960.43","5,268.79","6,128.48","7,337.95","7,450.81","8,086.70","8,078.31","8,719.58","9,766.24","10,787.47","11,781.03","12,348.71","13,200.96","14,479.84","15,056.42","9,882.74","13,539.30","15,097.15","16,439.53","17,567.22","18,609.08","19,699.47","20,859.58",2014
Mali,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",286.454,229.416,198.621,187.965,184.082,182.083,249.094,286.223,283.437,340.745,381.395,380.32,381.039,369.975,275.823,348.164,347.271,317.786,321.178,323.608,270.663,307.708,336.179,393.308,440.758,489.293,523.071,597.55,697.011,700.95,710.854,837.458,779.118,805.046,848.522,751.553,780.509,829.713,895.211,879.08,863.787,918.129,857.976,876.084,921.004,954.306,"1,002.16","1,042.00",2017
Malta,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"8,978.86","9,107.64","9,147.98","9,621.95","9,983.88","10,482.00","10,447.79","11,346.46","13,730.31","15,260.89","15,930.14","16,818.01","19,696.18","22,378.18","21,223.68","21,842.07","23,222.39","22,674.79","24,972.68","27,080.10","25,228.18","25,897.87","29,295.32","32,175.98","31,866.53","28,997.27","33,667.37","32,912.47","33,792.94","35,419.92","37,377.68","39,446.75","41,598.43",2021
Marshall Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,257.33","2,276.74","2,269.42","2,237.18","2,416.08","2,651.49","2,619.05","2,625.82","2,668.17","2,749.07","2,864.64","2,894.23","2,864.63","3,030.39","3,239.11","3,383.56","3,451.21","3,388.38","3,406.48","3,720.62","3,898.58","4,061.68","4,302.66","4,436.45","4,637.30","4,858.53","5,086.04","5,254.67","5,412.93","5,559.53","5,710.10",2020
Mauritania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,898.741,"1,002.02","1,026.90",852.513,872.712,912.587,904.326,854.319,812.206,773.412,673.361,641.849,634.588,711.709,796.923,963.498,"1,357.43","1,425.47","1,647.29","1,475.59","1,715.92","2,012.83","1,946.08","2,072.49","1,826.78","1,668.07","1,690.81","1,758.54","1,882.20","1,987.27","2,076.43","2,332.90","2,328.25","2,365.83","2,639.27","2,722.58","2,727.73","2,741.57",2014
Mauritius,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,268.11","1,186.58","1,124.40","1,179.73","1,080.41","1,085.14","1,454.12","1,827.43","2,104.55","2,146.05","2,555.86","2,781.63","3,091.41","3,148.80","3,446.31","3,902.22","3,993.48","3,703.63","3,701.87","3,859.15","4,102.59","4,026.94","4,196.43","5,005.42","5,626.00","5,516.20","5,695.98","6,574.66","8,030.05","7,318.13","8,000.38","9,197.04","9,291.24","9,637.02","10,151.73","9,258.56","9,681.42","10,485.01","11,205.37","11,099.23","8,625.90","8,827.24","9,111.61","9,831.90","10,679.19","11,416.65","12,059.03","12,618.54",2021
Mexico,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,383.69","4,238.76","3,002.23","2,390.40","2,755.01","2,859.22","1,937.36","2,080.40","2,493.82","2,979.92","3,450.20","4,059.99","4,624.01","5,636.36","5,841.02","3,920.74","4,405.11","5,283.08","5,477.93","6,157.25","7,166.14","7,558.98","7,607.44","7,088.46","7,501.91","8,303.99","9,102.51","9,680.43","10,053.74","8,029.30","9,299.46","10,232.41","10,271.41","10,758.98","10,967.11","9,657.12","8,788.59","9,342.92","9,753.67","10,025.54","8,528.11","10,061.53","10,947.98","11,250.51","11,541.81","11,896.57","12,283.12","12,694.35",2020
Micronesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"2,094.48","2,060.87","1,944.21","2,054.62","2,061.64","2,179.42","2,257.32","2,277.95","2,311.65","2,268.90","2,370.44","2,413.78","2,457.38","2,531.36","2,711.06","2,887.35","3,021.69","3,170.96","3,068.37","3,082.90","3,050.72","3,197.21","3,522.11","3,854.14","3,979.07","3,935.56","3,880.40","4,072.08","4,308.71","4,503.12","4,635.20","4,755.78","4,873.61",2018
Moldova,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,290.058,373.927,389.592,485.354,572.302,653.525,575.974,398.41,448.062,505.784,569.109,680.272,894.061,"1,031.42","1,179.32","1,526.38","2,102.94","1,890.65","2,428.11","2,930.06","3,031.13","3,307.35","3,314.55","2,715.78","2,857.88","3,422.64","4,121.05","4,376.65","4,377.54","5,284.91","5,528.59","5,743.15","6,128.09","6,748.85","7,395.58","8,086.19",2019
Mongolia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,288.65","1,324.85",722.215,352.304,419.198,647.441,592.439,511.954,480.917,445.544,473.198,521.317,566.403,639.373,789.958,989.177,"1,321.61","1,616.14","2,109.27","1,687.55","2,602.37","3,702.36","4,281.33","4,293.83","4,081.02","3,800.11","3,575.10","3,612.72","4,078.18","4,309.05","3,965.10","4,482.85","4,541.57","4,725.37","5,208.60","5,644.83","6,018.32","6,354.75",2021
Montenegro,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,596.63","1,893.72","2,081.05","2,745.76","3,379.64","3,679.83","4,429.80","5,985.43","7,396.67","6,746.38","6,694.17","7,327.25","6,590.58","7,189.05","7,389.89","6,517.42","7,031.53","7,800.27","8,854.78","8,911.28","7,688.55","9,433.03","9,849.57","10,721.55","11,576.32","12,260.21","12,963.71","13,694.48",2020
Morocco,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,225.16",969.427,953.625,842,752.276,741.671,956.731,"1,030.89","1,193.50","1,200.48","1,351.48","1,418.36","1,453.80","1,340.92","1,482.25","1,600.89","1,745.45","1,561.01","1,644.07","1,614.86","1,486.87","1,489.70","1,573.47","1,914.01","2,163.48","2,232.94","2,427.11","2,759.52","3,189.20","3,162.86","3,134.70","3,367.35","3,224.71","3,463.60","3,527.71","3,235.57","3,235.22","3,401.26","3,615.59","3,622.68","3,375.27","3,934.31","3,896.21","4,067.57","4,247.28","4,439.19","4,633.58","4,843.39",2021
Mozambique,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",396.816,300.914,300.392,263.659,270.38,353.788,413.827,187.301,164.966,171.727,271.733,272.614,191.23,189.937,187.082,187.295,241.649,283.513,313.064,346.574,319.358,296.268,302.546,326.075,383.27,416.811,435.334,482.198,563.649,520.403,471.904,594.586,657.645,664.078,673.969,589.86,428.927,461.415,504.536,508.164,454.063,491.839,542.095,578.905,624.272,648.115,728.709,814.27,2015
Myanmar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,116.223,143.154,169.697,154.588,148.549,189.041,227.347,254.757,283.701,370.544,525.195,632.23,774.72,"1,088.75","1,182.15","1,210.22","1,244.18","1,223.74","1,163.79","1,177.08","1,271.68","1,302.28","1,527.43","1,216.81","1,104.75","1,172.60","1,232.32","1,293.64","1,360.48","1,435.86",2015
Namibia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,908.83","2,025.61","2,264.91","2,099.22","2,283.06","2,476.95","2,406.48","2,423.59","2,189.32","2,118.41","2,156.03","1,954.97","1,825.85","2,630.11","3,470.15","3,742.51","3,870.94","4,378.56","4,198.55","4,340.18","5,410.98","5,870.93","6,038.86","5,540.62","5,555.93","5,020.47","4,611.51","5,438.76","5,666.27","5,099.43","4,224.87","4,826.02","4,808.92","5,052.07","5,231.01","5,389.36","5,534.71","5,688.43",2021
Nauru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"3,174.96","3,167.65","3,200.72","2,470.84","3,965.36","4,587.75","4,748.08","6,529.40","9,382.64","9,103.52","8,865.60","6,994.05","7,674.48","8,152.26","9,398.51","9,365.10","8,866.87","10,139.07","10,004.73","10,096.29","10,162.83","10,156.67","10,088.18","10,071.59",2016
Nepal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",150.32,171.788,169.629,181.32,187.418,190.268,202.463,205.448,236.915,234.002,234.93,250.449,221.485,231.46,235.438,249.269,250.955,266.826,259.85,262.135,272.997,275.947,275.646,287.747,326.363,362.378,395.692,446.328,536.55,545.357,675.597,801.829,804.141,823.321,844.495,901.75,899.524,"1,048.45","1,178.53","1,194.96","1,158.55","1,208.77","1,292.96","1,371.22","1,484.16","1,591.19","1,696.30","1,809.65",2018
Netherlands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,750.49","11,429.73","11,013.57","10,682.31","9,904.97","10,008.04","13,875.19","16,895.40","17,956.11","17,597.26","21,581.58","22,057.79","24,191.96","23,356.33","24,935.53","29,350.80","29,084.07","26,808.39","28,018.71","28,393.85","26,327.86","26,996.17","29,401.97","35,814.27","40,477.30","42,054.88","44,936.01","51,880.38","58,015.40","52,807.45","51,165.82","54,342.11","50,175.56","52,276.99","53,026.48","45,302.80","46,165.18","48,799.87","53,224.69","52,672.50","52,222.36","57,996.91","56,297.80","57,628.61","60,620.87","63,173.49","65,684.34","68,285.13",2021
New Zealand,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,245.87","7,502.04","7,369.53","7,063.32","6,959.70","6,942.52","8,372.34","11,187.92","13,641.73","13,101.22","13,440.10","12,425.79","11,755.02","12,535.61","14,607.34","16,938.74","18,504.60","18,205.45","14,888.91","15,347.40","14,020.44","13,669.67","15,706.81","20,461.05","24,848.79","27,384.49","26,220.69","31,914.65","31,763.88","28,269.10","33,393.86","38,060.06","39,683.24","42,084.30","44,283.21","38,213.55","39,426.13","42,293.95","42,765.32","42,342.99","41,390.93","48,317.42","47,278.49","49,008.47","50,763.41","52,797.69","54,926.33","57,282.74",2021
Nicaragua,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,898.199,935.34,947.14,940.143,973.071,999.413,"1,030.74","1,054.66","1,011.90","1,010.23","1,077.78","1,152.80","1,224.72","1,326.66","1,498.88","1,438.13","1,499.07","1,652.10","1,728.15","1,783.56","1,909.42","2,029.12","2,091.46","2,147.86","2,008.40","1,924.47","1,937.33","2,141.01","2,375.33","2,540.68","2,653.53","2,776.74","2,894.49","3,017.24",2020
Niger,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",609.433,510.028,458.113,395.659,310.002,295.81,378.695,430.394,426.027,394.734,435.341,394.9,393.718,343.177,211.016,241.954,243.965,224.475,250.234,231.66,197.275,207.769,227.424,267.409,285.388,320.923,335.334,389.256,477.27,462.267,476.062,511.488,528.918,551.554,562.885,484.171,497.882,517.771,572.564,553.905,568.348,595.235,561.222,573.571,636.073,680.775,714.389,749.955,2009
Nigeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,652.915,615.663,521.905,553.126,760.992,"1,224.94","1,560.38","1,655.82","1,802.59",481.951,554.64,583.187,730.836,780.399,963.236,"1,221.65","1,563.03","1,791.82","2,197.78","1,927.48","2,328.43","2,543.50","2,756.41","2,998.07","3,222.69","2,718.59","2,176.00","1,968.56","2,153.09","2,229.85","2,083.16","2,088.64","2,326.23","2,584.69","2,860.36","3,162.60","3,496.10","3,860.08",2012
North Macedonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,263.86","1,383.54","1,824.42","2,387.16","2,348.11","1,980.43","1,888.76","1,931.99","1,878.24","1,839.62","1,974.06","2,440.81","2,796.62","3,071.90","3,359.61","4,076.30","4,838.15","4,579.09","4,576.23","5,097.26","4,728.37","5,239.65","5,498.61","4,860.42","5,152.97","5,462.38","6,111.19","6,073.00","5,867.16","6,713.67","6,815.77","7,262.39","7,796.91","8,353.05","8,947.90","9,565.94",2021
Norway,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,746.26","15,484.68","15,196.29","14,906.17","14,968.79","15,728.22","18,853.07","22,445.04","24,143.12","24,245.45","28,187.18","28,514.50","30,432.89","27,880.63","29,236.38","34,790.00","37,225.29","36,561.41","34,717.06","36,278.34","38,047.95","38,494.69","42,997.96","50,046.34","57,512.22","66,687.76","73,970.24","84,915.64","96,563.22","79,746.89","87,356.19","100,197.17","101,129.91","102,576.68","96,657.58","74,115.16","70,223.82","75,306.67","82,082.12","75,594.05","67,265.89","89,041.59","92,645.97","88,748.76","89,809.90","90,663.78","91,330.95","93,107.33",2021
Oman,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,357.78","6,019.90","6,317.03","6,148.45","6,324.40","7,025.70","5,214.20","5,145.49","5,001.10","5,278.57","7,267.92","6,806.24","7,213.06","6,995.28","7,010.60","7,284.85","7,869.08","7,983.97","6,920.86","7,554.52","9,266.36","9,088.21","9,285.34","9,792.64","11,042.53","13,563.46","15,946.36","17,716.42","25,061.26","19,235.88","21,677.79","23,518.57","24,129.01","23,328.49","23,219.69","18,924.97","17,020.39","17,731.85","19,885.10","19,069.31","16,640.43","18,966.25","23,541.51","23,193.17","22,403.97","21,828.12","21,506.70","21,342.76",2021
Pakistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",418.868,481.273,510.95,463.729,489.768,476.671,475.29,483.935,543.093,552.033,538.436,598.446,614.248,633.621,622.754,709.938,723.458,696.389,677.023,626.481,630.279,601.978,593.859,666.113,767.824,842.046,961.433,"1,048.43","1,124.05","1,086.53","1,122.71","1,325.83","1,364.75","1,378.63","1,428.38","1,550.55","1,566.63","1,653.41","1,698.03","1,500.68","1,376.51","1,564.43","1,658.36",n/a,n/a,n/a,n/a,n/a,2021
Palau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"7,862.50","8,060.38","8,349.54","7,834.16","8,341.06","9,212.57","9,599.03","9,962.69","10,223.92","9,775.42","9,939.74","10,727.52","12,063.50","12,778.97","13,877.88","16,286.95","16,876.47","16,132.65","16,079.10","15,704.46","14,298.60","12,331.06","12,663.00","15,081.72","16,905.71","17,907.19","18,744.66","19,467.75",2020
Panama,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,071.04","2,288.37","2,469.14","2,477.12","2,527.53","2,614.79","2,658.35","2,613.10","2,211.67","2,171.73","2,312.99","2,489.71","2,770.95","2,963.32","3,095.16","3,099.92","3,580.93","3,791.27","4,027.32","4,136.06","4,111.71","4,094.97","4,172.69","4,312.62","4,638.72","4,965.21","5,401.56","6,127.03","7,110.23","7,532.40","8,039.76","9,314.69","10,674.49","11,841.89","12,756.95","13,606.60","14,344.09","15,178.30","15,612.60","15,877.57","12,615.88","14,664.31","16,172.62","17,153.67","18,136.12","19,094.05","20,108.28","21,176.38",2020
Papua New Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,380.84","1,319.41","1,223.39","1,194.66","1,079.59",975.967,"1,039.81","1,159.83","1,565.17","1,455.04","1,265.88","1,444.10","1,546.58","1,713.71","1,834.98","1,581.63","1,639.77","1,527.44","1,138.37","1,013.23","1,007.52",862.099,814.701,995.275,"1,111.94","1,269.53","1,411.90","1,576.16","1,883.53","1,833.09","2,132.19","2,552.04","2,865.78","2,800.17","2,992.71","2,742.92","2,567.58","2,755.49","2,861.45","2,877.58","2,809.52","3,049.94","3,427.21","3,569.30","3,643.05","3,729.25","3,874.51","4,034.12",2019
Paraguay,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,299.66","1,608.46","1,636.53","1,762.99","1,390.89","1,154.15","1,335.76","1,084.70","1,392.42",977.835,"1,185.28","1,585.24","1,592.06","1,580.21","1,681.40","1,897.13","2,008.19","2,003.58","1,824.65","1,706.40","1,675.79","1,577.68","1,312.08","1,377.52","1,693.89","1,857.78","2,285.13","2,988.68","4,054.04","3,623.93","4,329.69","5,301.83","5,153.42","5,892.85","6,065.28","5,360.08","5,265.06","5,608.16","5,703.32","5,299.67","4,885.40","5,279.39","5,615.39","5,906.58","6,141.03","6,468.09","6,741.50","7,044.30",2020
Peru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,164.83","1,373.07","1,332.46","1,011.73","1,018.79",861.599,"1,263.73","2,040.65","1,579.55","1,908.46","1,301.47","1,530.74","1,562.58","1,487.86","1,839.23","2,147.43","2,193.69","2,272.35","2,141.11","1,903.93","1,940.24","1,935.55","2,017.77","2,159.74","2,408.09","2,669.21","3,106.72","3,587.80","4,209.04","4,179.71","5,055.52","5,736.12","6,407.63","6,647.52","6,584.00","6,164.22","6,207.43","6,776.89","7,051.59","7,006.34","6,145.03","6,678.89","7,004.79","7,353.43","7,655.60","7,945.49","8,246.48","8,560.88",2017
Philippines,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",774.484,829.816,843.471,735.714,678.342,645.597,615.047,666.915,744.307,816.961,828.821,830.407,946.762,949.733,"1,094.54","1,237.31","1,316.41","1,279.84",988.487,"1,112.35","1,087.29","1,003.96","1,050.30","1,062.62","1,137.07","1,261.27","1,470.83","1,764.68","2,011.63","1,923.67","2,237.16","2,473.25","2,721.25","2,903.19","2,995.50","3,039.23","3,107.65","3,153.31","3,279.52","3,512.20","3,325.84","3,576.10","3,597.48","3,763.70","3,989.25","4,248.72","4,526.52","4,824.02",2021
Poland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,595.05","1,497.84","1,803.46","2,056.96","2,042.04","1,899.82","1,965.54","1,691.13","1,819.39","1,772.09","1,629.05","2,105.49","2,315.65","2,351.74","2,692.70","3,612.26","4,066.18","4,075.98","4,459.10","4,348.15","4,485.06","4,987.86","5,205.52","5,699.56","6,684.68","8,023.92","9,031.80","11,252.86","13,999.50","11,532.28","12,619.62","13,879.53","13,096.89","13,688.36","14,272.29","12,563.61","12,438.52","13,868.91","15,468.26","15,726.88","15,801.56","17,945.75","19,023.23","20,045.24","21,600.56","23,342.80","24,715.36","26,225.92",2021
Portugal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,338.76","3,296.65","3,095.10","2,838.66","2,596.08","2,716.65","3,774.58","4,724.45","5,532.62","5,977.58","7,957.24","9,026.30","10,863.49","9,547.64","9,977.62","11,787.32","12,187.58","11,594.76","12,216.69","12,487.71","11,531.47","11,734.88","12,927.58","15,793.85","18,055.89","18,790.56","19,840.47","22,813.67","24,946.26","23,126.18","22,539.04","23,213.13","20,576.83","21,653.51","22,109.32","19,252.02","19,986.36","21,482.83","23,573.30","23,333.32","22,176.75","24,296.07","24,910.41","25,486.35","26,988.44","28,490.07","29,961.48","31,484.47",2021
